U;I
0,010403;-8,237000E-6
0,010413;-9,610000E-6
0,020330;-8,237000E-6
0,030292;-9,610000E-6
0,040311;-9,610000E-6
0,050335;-9,610000E-6
0,060313;-8,237000E-6
0,070346;-1,235600E-5
0,080327;-1,235600E-5
0,090352;-1,098300E-5
0,100372;-6,864000E-6
0,110355;-6,864000E-6
0,120291;-9,610000E-6
0,130302;-9,610000E-6
0,140336;-6,864000E-6
0,150354;-1,235600E-5
0,160319;-8,237000E-6
0,170331;-1,098300E-5
0,180333;-1,235600E-5
0,190364;-8,237000E-6
0,200341;-9,610000E-6
0,210363;-1,098300E-5
0,220248;-8,237000E-6
0,230266;-8,237000E-6
0,240293;-1,235600E-5
0,250267;-9,610000E-6
0,260282;-1,235600E-5
0,270284;-8,237000E-6
0,280269;-8,237000E-6
0,290334;-1,098300E-5
0,300294;-6,864000E-6
0,310320;-9,610000E-6
0,320175;-1,372800E-5
0,330154;-8,237000E-6
0,340223;-8,237000E-6
0,350196;-1,235600E-5
0,360192;-8,237000E-6
0,370208;-8,237000E-6
0,380184;-1,235600E-5
0,390232;-1,235600E-5
0,400208;-8,237000E-6
0,410112;-1,098300E-5
0,420131;-1,098300E-5
0,430111;-8,237000E-6
0,440129;-1,235600E-5
0,450146;-8,237000E-6
0,460138;-1,235600E-5
0,470167;-9,610000E-6
0,480129;-8,237000E-6
0,490176;-1,098300E-5
0,500172;-1,098300E-5
0,510111;-8,237000E-6
0,520095;-1,235600E-5
0,530119;-1,235600E-5
0,540137;-6,864000E-6
0,550157;-9,610000E-6
0,560152;-6,864000E-6
0,570131;-6,864000E-6
0,580147;-1,098300E-5
0,590177;-8,237000E-6
0,600138;-8,237000E-6
0,610059;-1,098300E-5
0,620035;-6,864000E-6
0,630060;-1,098300E-5
0,640071;-9,610000E-6
0,650060;-8,237000E-6
0,660081;-1,098300E-5
0,670063;-8,237000E-6
0,679699;-6,864000E-6
0,689715;-9,610000E-6
0,699696;-6,864000E-6
0,709755;-8,237000E-6
0,719728;-9,610000E-6
0,729727;-9,610000E-6
0,739770;-1,098300E-5
0,749735;-8,237000E-6
0,759779;-9,610000E-6
0,769744;-8,237000E-6
0,779773;-8,237000E-6
0,789784;-9,610000E-6
0,799764;-6,864000E-6
0,809641;-9,610000E-6
0,819645;-6,864000E-6
0,829661;-8,237000E-6
0,839686;-9,610000E-6
0,849651;-6,864000E-6
0,859658;-8,237000E-6
0,869655;-9,610000E-6
0,879675;-5,491000E-6
0,889636;-9,610000E-6
0,899661;-5,491000E-6
0,909595;-1,098300E-5
0,919621;-8,237000E-6
0,929623;-5,491000E-6
0,939585;-8,237000E-6
0,949591;-6,864000E-6
0,959599;-9,610000E-6
0,969574;-4,119000E-6
0,979623;-9,610000E-6
0,989596;-6,864000E-6
0,999614;-6,864000E-6
1,009489;-9,610000E-6
1,019461;-5,491000E-6
1,029519;-8,237000E-6
1,039495;-6,864000E-6
1,049482;-9,610000E-6
1,059491;-4,119000E-6
1,069449;-8,237000E-6
1,079508;-5,491000E-6
1,089476;-8,237000E-6
1,099436;-8,237000E-6
1,109460;-5,491000E-6
1,119427;-6,864000E-6
1,129436;-4,119000E-6
1,139435;-8,237000E-6
1,149445;-2,746000E-6
1,159453;-8,237000E-6
1,169411;-4,119000E-6
1,179431;-6,864000E-6
1,189426;-4,119000E-6
1,199328;-6,864000E-6
1,209285;-4,119000E-6
1,219293;-4,119000E-6
1,229306;-4,119000E-6
1,239317;-6,864000E-6
1,249308;-4,119000E-6
1,259279;-8,237000E-6
1,269282;-4,119000E-6
1,279305;-6,864000E-6
1,289253;-2,746000E-6
1,299222;-6,864000E-6
1,309199;-5,491000E-6
1,319209;-6,864000E-6
1,329204;-2,746000E-6
1,339174;-2,746000E-6
1,349199;-5,491000E-6
1,359168;-2,746000E-6
1,369174;-6,864000E-6
1,379189;-1,373000E-6
1,389156;-5,491000E-6
1,399074;-4,119000E-6
1,409025;-2,746000E-6
1,419036;-5,491000E-6
1,429032;-1,373000E-6
1,439015;-6,864000E-6
1,448995;-4,119000E-6
1,458992;-2,746000E-6
1,469008;-1,373000E-6
1,479014;-4,119000E-6
1,488983;-4,119000E-6
1,499005;-1,373000E-6
1,508995;-2,746000E-6
1,518996;-1,373000E-6
1,528946;-5,491000E-6
1,538965;-1,373000E-6
1,548952;-4,119000E-6
1,558945;0,000000
1,568973;0,000000
1,578927;0,000000
1,588927;-1,373000E-6
1,598812;-2,746000E-6
1,608757;0,000000
1,618805;-2,746000E-6
1,628765;0,000000
1,638755;-2,746000E-6
1,648735;1,373000E-6
1,658710;0,000000
1,668740;0,000000
1,678707;1,373000E-6
1,688619;-1,373000E-6
1,698637;0,000000
1,708584;-1,373000E-6
1,718633;1,373000E-6
1,728593;-1,373000E-6
1,738586;1,373000E-6
1,748576;0,000000
1,758544;4,119000E-6
1,768539;2,746000E-6
1,778526;1,373000E-6
1,788406;2,746000E-6
1,798404;0,000000
1,808365;0,000000
1,818368;1,373000E-6
1,828358;4,119000E-6
1,838342;1,373000E-6
1,848297;4,119000E-6
1,858299;1,373000E-6
1,868313;4,119000E-6
1,878295;6,864000E-6
1,888121;1,373000E-6
1,898087;2,746000E-6
1,908074;5,491000E-6
1,918086;4,119000E-6
1,928029;2,746000E-6
1,938058;6,864000E-6
1,948005;2,746000E-6
1,957995;5,491000E-6
1,968015;2,746000E-6
1,977960;6,864000E-6
1,987853;4,119000E-6
1,997813;6,864000E-6
2,007815;4,119000E-6
2,017805;6,864000E-6
2,027763;4,119000E-6
2,037784;6,864000E-6
2,047339;5,491000E-6
2,057344;5,491000E-6
2,067338;8,237000E-6
2,077290;8,237000E-6
2,087200;8,237000E-6
2,097194;6,864000E-6
2,107185;9,610000E-6
2,117194;6,864000E-6
2,127137;8,237000E-6
2,137110;8,237000E-6
2,147089;8,237000E-6
2,157087;9,610000E-6
2,167029;1,098300E-5
2,177031;9,610000E-6
2,186893;8,237000E-6
2,196869;1,235600E-5
2,206862;9,610000E-6
2,216816;1,235600E-5
2,226792;1,372800E-5
2,236789;1,098300E-5
2,246727;1,372800E-5
2,256756;9,610000E-6
2,266709;1,372800E-5
2,276680;8,237000E-6
2,286684;1,098300E-5
2,296648;1,098300E-5
2,306668;1,098300E-5
2,316618;1,510100E-5
2,326592;1,510100E-5
2,336579;1,235600E-5
2,346521;1,235600E-5
2,356550;1,235600E-5
2,366487;1,510100E-5
2,376348;1,510100E-5
2,386346;1,510100E-5
2,396282;1,372800E-5
2,406266;1,647400E-5
2,416246;1,510100E-5
2,426220;1,647400E-5
2,436195;1,647400E-5
2,446140;1,372800E-5
2,456131;2,059300E-5
2,466108;1,510100E-5
2,476019;1,784700E-5
2,485947;1,372800E-5
