U;I
0,008322;9,610000E-6
0,007810;5,491000E-6
0,015959;2,883000E-5
0,023295;4,804900E-5
0,030334;6,864200E-5
0,037049;9,609900E-5
0,043414;0,000128
0,049515;0,000155
0,055270;0,000192
0,060779;0,000225
0,066012;0,000262
0,070980;0,000306
0,075686;0,000345
0,080204;0,000391
0,084514;0,000435
0,088630;0,000478
0,092535;0,000531
0,096288;0,000575
0,099885;0,000626
0,103335;0,000682
0,106637;0,000736
0,109814;0,000791
0,112822;0,000844
0,115748;0,000896
0,118572;0,000955
0,121272;0,001010
0,123894;0,001072
0,126423;0,001130
0,128854;0,001190
0,131229;0,001249
0,133499;0,001314
0,135714;0,001371
0,137828;0,001432
0,139905;0,001498
0,141937;0,001558
0,143894;0,001623
0,145799;0,001689
0,147658;0,001752
0,149455;0,001818
0,151218;0,001881
0,152921;0,001947
0,154571;0,002014
0,156194;0,002078
0,157772;0,002146
0,159321;0,002212
0,160770;0,002275
0,162246;0,002346
0,163652;0,002411
0,165057;0,002478
0,166443;0,002545
0,167802;0,002617
0,169122;0,002685
0,170417;0,002751
0,171680;0,002823
0,172924;0,002891
0,174142;0,002958
0,175336;0,003031
0,176507;0,003099
0,177659;0,003170
0,178778;0,003237
0,179893;0,003307
0,180971;0,003374
0,182040;0,003446
0,183093;0,003520
0,184130;0,003589
0,185148;0,003661
0,186151;0,003734
0,187136;0,003800
0,188106;0,003873
0,189065;0,003947
0,190003;0,004020
0,190937;0,004092
0,191739;0,004156
0,192639;0,004224
0,193524;0,004296
0,194391;0,004368
0,195256;0,004438
0,196101;0,004515
0,196941;0,004584
0,197771;0,004658
0,198585;0,004731
0,199384;0,004797
0,200179;0,004876
0,200961;0,004942
0,201736;0,005016
0,202496;0,005092
0,203251;0,005162
0,203996;0,005237
0,204727;0,005309
0,205451;0,005382
0,206162;0,005456
0,206864;0,005527
0,207563;0,005603
0,208255;0,005677
0,208936;0,005749
0,209609;0,005819
0,210276;0,005894
0,210931;0,005965
0,211586;0,006038
0,212171;0,006109
0,212811;0,006183
0,213435;0,006255
0,214058;0,006330
0,214681;0,006402
0,215293;0,006478
0,215900;0,006548
0,216503;0,006625
0,217098;0,006701
0,217692;0,006772
0,218273;0,006846
0,218848;0,006916
0,219423;0,006995
0,219989;0,007066
0,220553;0,007143
0,221112;0,007218
0,221663;0,007294
0,222187;0,007360
0,222723;0,007437
0,223260;0,007511
0,224679;0,007717
0,225304;0,007802
0,225838;0,007883
0,226364;0,007957
0,226884;0,008035
0,227398;0,008109
0,227904;0,008184
