U;I
0,369105;4,119000E-6
0,407748;1,372800E-5
0,534440;0,000277
0,585118;0,000821
0,606514;0,001277
0,619176;0,001646
0,637395;0,002365
0,645624;0,002770
0,664656;0,003946
0,670294;0,004374
0,680220;0,005231
0,686169;0,005808
0,695021;0,006761
0,698093;0,007124
0,707312;0,008304
0,711642;0,008895
0,716629;0,009637
0,722398;0,010560
0,723690;0,010778
0,730095;0,011894
0,732587;0,012346
0,739156;0,013614
0,742721;0,014361
0,744154;0,014662
0,749413;0,015818
0,750053;0,015963
0,755403;0,017247
0,756304;0,017472
0,763567;0,019265
0,765366;0,019744
0,767479;0,020330
0,770446;0,021205
0,772140;0,021669
0,775680;0,022668
0,778047;0,023363
0,782552;0,024677
0,784654;0,025373
0,787517;0,026148
0,790093;0,027002
0,791594;0,027545
0,794009;0,028558
0,796278;0,029258
0,796697;0,029408
0,799938;0,030522
0,801324;0,031062
0,803590;0,031839
0,805729;0,032616
0,808035;0,033544
0,809236;0,034013
0,812629;0,035410
0,814588;0,036268
0,816452;0,036969
0,818239;0,037588
0,821337;0,038950
0,821723;0,039134
0,823946;0,040002
0,825713;0,040894
0,826620;0,041365
0,827847;0,041920
0,829807;0,042852
0,831328;0,043557
0,832731;0,044188
0,835201;0,045198
0,836969;0,046141
0,838478;0,046683
0,840832;0,047703
0,841678;0,048251
0,843159;0,049039
0,844601;0,049823
0,846622;0,050687
0,848237;0,051311
0,849512;0,052099
0,851436;0,053107
0,853420;0,054145
0,855483;0,055109
0,856883;0,055905
0,858677;0,056691
0,861236;0,057960
0,861681;0,058118
0,863968;0,059308
0,865285;0,060250
0,865876;0,060568
0,868340;0,061757
0,869008;0,062155
0,870597;0,063265
0,872439;0,064057
0,874318;0,064928
0,875731;0,065723
0,877414;0,066595
0,877601;0,066833
0,879809;0,068263
0,874687;0,068900
0,881817;0,069379
0,883796;0,070554
0,885323;0,071605
0,886353;0,072085
0,887212;0,072563
