U;I
0,358819;4,119000E-6
0,463736;0,000128
0,477909;0,000176
0,548226;0,000733
0,589840;0,001601
0,601636;0,001991
0,617820;0,002661
0,634531;0,003574
0,640070;0,003935
0,653682;0,004952
0,660485;0,005537
0,665220;0,005980
0,674639;0,006949
0,681227;0,007703
0,687956;0,008534
0,694761;0,009441
0,696384;0,009672
0,705604;0,011040
0,709929;0,011727
0,711335;0,011955
0,718328;0,013145
0,723464;0,014067
0,727986;0,014924
0,729587;0,015234
0,732337;0,015773
0,737686;0,016852
0,739951;0,017324
0,744672;0,018330
0,749584;0,019412
0,750612;0,019641
0,755683;0,020807
0,759957;0,021817
0,762567;0,022446
0,763848;0,022756
0,769822;0,024240
0,770130;0,024316
0,774012;0,025312
0,777127;0,026120
0,780857;0,027104
0,782624;0,027572
0,785532;0,028360
0,789836;0,029550
0,790942;0,029859
0,796246;0,031352
0,798981;0,032134
0,800887;0,032687
0,804385;0,033706
0,804930;0,033867
0,808391;0,034885
0,810749;0,035591
0,813374;0,036382
0,817500;0,037635
0,817756;0,037716
0,822113;0,039059
0,824401;0,039766
0,827378;0,040699
0,828119;0,040935
0,832097;0,042196
0,834759;0,043062
0,836473;0,043622
0,839605;0,044652
0,840077;0,044811
0,844203;0,046180
0,846787;0,047050
0,847471;0,047287
0,850708;0,048394
0,852334;0,048945
0,854220;0,049582
0,856276;0,050297
0,860138;0,051633
0,861943;0,052267
0,863259;0,052747
0,866459;0,053854
0,869674;0,054970
0,871852;0,055726
0,872538;0,055965
0,875185;0,056917
0,878518;0,058110
0,879875;0,058589
0,882564;0,059546
0,885411;0,060577
0,886956;0,061130
0,889360;0,062007
0,891317;0,062718
0,892192;0,063037
0,895952;0,064389
0,896794;0,064709
0,898674;0,065417
0,902713;0,066938
0,904676;0,067647
0,905343;0,067886
0,907597;0,068764
0,910950;0,070040
0,912694;0,070675
0,915202;0,071627
0,916063;0,071946
0,919738;0,073301
