U;I
0,050435;-9,610000E-6
0,050455;-1,510100E-5
0,100457;-1,098300E-5
0,150401;-1,510100E-5
0,200376;-1,510100E-5
0,250301;-9,610000E-6
0,300317;-1,372800E-5
0,350195;-1,372800E-5
0,400206;-1,235600E-5
0,450145;-9,610000E-6
0,500158;-1,372800E-5
0,550126;-1,235600E-5
0,600116;-1,098300E-5
0,650034;-1,510100E-5
0,700058;-1,235600E-5
0,750113;-1,372800E-5
0,800129;-9,610000E-6
0,850048;-1,098300E-5
0,900063;-1,235600E-5
0,950026;-1,510100E-5
1,000304;-1,510100E-5
1,050337;-1,098300E-5
1,100305;-1,098300E-5
1,200256;-9,610000E-6
1,250285;-1,098300E-5
1,300241;-1,098300E-5
1,350269;-1,098300E-5
1,400125;-1,372800E-5
1,450108;-1,510100E-5
1,500057;-1,098300E-5
1,549791;-8,237000E-6
1,598811;-1,373000E-6
1,646252;2,059300E-5
1,689323;7,413300E-5
1,724976;0,000191
1,752462;0,000369
1,773808;0,000601
1,790852;0,000866
1,805103;0,001150
1,817340;0,001454
1,828171;0,001765
1,837910;0,002094
1,846828;0,002418
1,855054;0,002757
1,862753;0,003097
1,869992;0,003438
1,876836;0,003788
1,883331;0,004095
1,889550;0,004485
1,895506;0,004841
1,901253;0,005193
1,906785;0,005553
1,912146;0,005907
1,917351;0,006273
1,922416;0,006629
1,927327;0,006991
1,932127;0,007352
1,936842;0,007721
1,941444;0,008087
1,945957;0,008417
1,950390;0,008818
1,954736;0,009183
1,958982;0,009554
1,963139;0,009916
1,967251;0,010289
1,971316;0,010653
1,975312;0,011024
1,979232;0,011397
1,983107;0,011765
1,986921;0,012136
1,990766;0,012509
1,994489;0,012887
1,998189;0,013256
2,001836;0,013630
2,005456;0,014000
2,009037;0,014372
2,012581;0,014748
2,016101;0,015123
2,019576;0,015497
2,023023;0,015869
2,026462;0,016243
2,029860;0,016615
2,033217;0,016993
2,036542;0,017366
2,039855;0,017745
2,043156;0,018119
2,046429;0,018492
2,049684;0,018867
2,052909;0,019243
2,056108;0,019625
2,059286;0,019997
2,062469;0,020372
2,065637;0,020749
2,068761;0,021127
2,071867;0,021504
2,074981;0,021886
2,078063;0,022259
2,081150;0,022640
2,084211;0,023014
