Uds;Id;Ugs
0,000000;-1,375000E-6;0,200000
0,000000;-2,750000E-6;0,200000
0,000000;-5,500000E-6;0,400000
0,000000;-4,125000E-6;0,200000
0,000000;-1,375000E-6;0,400000
0,000000;-2,750000E-6;0,600000
0,000000;2,750000E-6;0,800000
0,000000;-2,750000E-6;1,000000
0,000000;-1,375000E-6;1,600000
0,000000;-2,750000E-6;1,800000
0,000000;2,750000E-6;2,000000
0,000000;-1,375000E-6;2,200000
0,000000;-1,375000E-6;2,400000
0,000000;-6,875000E-6;2,600000
0,000000;-1,375000E-6;2,800000
0,000000;-4,125000E-6;3,000000
0,000000;-5,500000E-6;3,200001
0,000000;-1,375000E-6;3,400001
0,000000;-2,750000E-6;3,600001
0,000000;-8,251000E-6;3,800001
0,000000;-6,875000E-6;4,000000
0,000000;-2,750000E-6;4,200000
0,000000;-4,125000E-6;4,400000
0,000000;-5,500000E-6;4,600000
0,000000;-2,750000E-6;4,800000
0,000000;-5,500000E-6;5,000000
0,000000;-8,251000E-6;5,199999
0,000000;-2,750000E-6;5,399999
0,000000;-6,875000E-6;5,599999
0,000000;-9,626000E-6;5,799999
0,000000;-8,251000E-6;5,999999
0,000000;-4,125000E-6;6,199998
0,000000;-6,875000E-6;6,399998
0,000000;-9,626000E-6;6,599998
0,000000;-9,626000E-6;6,799998
0,000000;-8,251000E-6;6,999998
0,000000;-6,875000E-6;7,199997
0,000000;-1,375100E-5;7,399997
0,000000;-8,251000E-6;7,599997
0,000000;-6,875000E-6;7,799997
0,000000;-1,237600E-5;7,999997
0,000000;-8,251000E-6;8,199997
0,000000;-1,237600E-5;8,399997
0,000000;-1,100100E-5;8,599997
0,000000;-1,237600E-5;8,799996
0,000000;-8,251000E-6;8,999996
0,000000;-9,626000E-6;9,199996
0,000000;-1,512600E-5;9,399996
0,000000;-1,375100E-5;9,599996
0,000000;-1,375100E-5;9,799995
0,000000;-6,875000E-6;9,999995
0,000000;-1,100100E-5;10,200000
0,000000;-1,787600E-5;10,399990
1,000000;-1,375000E-6;0,400000
1,000000;-4,125000E-6;0,600000
1,000000;-6,875000E-6;0,800000
1,000000;1,375000E-6;1,000000
1,000000;-4,125000E-6;1,200000
1,000000;-1,375000E-6;1,400000
1,000000;-1,375000E-6;1,600000
1,000000;4,125000E-6;1,800000
1,000000;1,100100E-5;2,000000
1,000000;2,062600E-5;2,200000
1,000000;4,400300E-5;2,400000
1,000000;9,213100E-5;2,600000
1,000000;0,000298;3,000000
1,000000;0,000455;3,200001
1,000000;0,000656;3,400001
1,000000;0,000888;3,600001
1,000000;0,001159;3,800001
1,000000;0,001463;4,000000
1,000000;0,001793;4,200000
1,000000;0,002149;4,400000
1,000000;0,002521;4,600000
1,000000;0,002897;4,800000
1,000000;0,003280;5,000000
1,000000;0,003665;5,199999
1,000000;0,004043;5,399999
1,000000;0,004418;5,599999
1,000000;0,004785;5,799999
1,000000;0,005148;5,999999
1,000000;0,005509;6,199998
1,000000;0,005866;6,399998
1,000000;0,006210;6,599998
1,000000;0,006550;6,799998
1,000000;0,006892;6,999998
1,000000;0,007223;7,199997
1,000000;0,007551;7,399997
1,000000;0,007868;7,599997
1,000000;0,008186;7,799997
1,000000;0,008497;7,999997
1,000000;0,008799;8,199997
1,000000;0,009099;8,399997
1,000000;0,009400;8,599997
1,000000;0,009694;8,799996
