Ugs;Id;Uds
0,000000;-9,626000E-6;0,400000
0,000000;-8,251000E-6;0,600000
0,000000;-9,626000E-6;0,800000
0,000000;-9,626000E-6;1,000000
0,000000;-8,251000E-6;1,200000
0,000000;-1,375100E-5;1,400000
0,000000;-1,650100E-5;1,600000
0,000000;-1,375100E-5;1,800000
0,000000;-6,875000E-6;2,000000
0,000000;-6,875000E-6;2,200000
0,000000;-8,251000E-6;2,400000
0,000000;-1,375100E-5;2,600000
0,000000;-1,237600E-5;2,800000
0,000000;-1,512600E-5;3,000000
0,000000;-8,251000E-6;3,200001
0,000000;-1,375100E-5;3,400001
0,000000;-1,375100E-5;3,600001
0,000000;-1,100100E-5;3,800001
0,000000;-1,237600E-5;4,000000
0,000000;-1,512600E-5;4,200000
0,000000;-1,237600E-5;4,400000
0,000000;-1,512600E-5;4,600000
0,000000;-1,512600E-5;4,800000
0,000000;-1,237600E-5;5,000000
0,000000;-1,237600E-5;5,199999
0,000000;-1,100100E-5;5,399999
0,000000;-9,626000E-6;5,599999
0,000000;-1,100100E-5;5,799999
0,000000;-6,875000E-6;5,999999
0,000000;-6,875000E-6;6,199998
0,000000;-1,100100E-5;6,399998
0,000000;-1,237600E-5;6,599998
0,000000;-1,237600E-5;6,799998
0,000000;-1,100100E-5;6,999998
0,000000;-8,251000E-6;7,199997
0,000000;-9,626000E-6;7,399997
0,000000;-1,100100E-5;7,599997
0,000000;-1,237600E-5;7,799997
0,000000;-8,251000E-6;7,999997
0,000000;-8,251000E-6;8,199997
0,000000;-1,512600E-5;8,399997
0,000000;-1,100100E-5;8,599997
0,000000;-1,375100E-5;8,799996
0,000000;-9,626000E-6;8,999996
0,000000;-1,237600E-5;9,199996
0,000000;-8,251000E-6;9,399996
0,000000;-9,626000E-6;9,599996
0,000000;-9,626000E-6;9,799995
0,000000;-1,100100E-5;9,999995
0,000000;-8,251000E-6;10,200000
0,000000;-1,375100E-5;10,399990
1,000000;-1,100100E-5;0,400000
1,000000;-1,100100E-5;0,600000
1,000000;-1,100100E-5;0,800000
1,000000;-1,100100E-5;1,000000
1,000000;-8,251000E-6;1,200000
1,000000;-9,626000E-6;1,400000
1,000000;-8,251000E-6;1,600000
1,000000;-1,100100E-5;1,800000
1,000000;-1,100100E-5;2,000000
1,000000;-9,626000E-6;2,200000
1,000000;-1,100100E-5;2,400000
1,000000;-1,237600E-5;2,600000
1,000000;-8,251000E-6;2,800000
1,000000;-8,251000E-6;3,000000
1,000000;-8,251000E-6;3,200001
1,000000;-1,237600E-5;3,400001
1,000000;-9,626000E-6;3,600001
1,000000;-8,251000E-6;3,800001
1,000000;-1,237600E-5;4,000000
1,000000;-1,512600E-5;4,200000
1,000000;-1,237600E-5;4,400000
1,000000;-1,375100E-5;4,600000
1,000000;-9,626000E-6;4,800000
1,000000;-6,875000E-6;5,000000
1,000000;-1,237600E-5;5,199999
1,000000;-1,237600E-5;5,399999
1,000000;-1,237600E-5;5,599999
1,000000;-1,237600E-5;5,799999
1,000000;-1,237600E-5;5,999999
1,000000;-1,237600E-5;6,199998
1,000000;-1,237600E-5;6,399998
1,000000;-1,375100E-5;6,599998
1,000000;-1,237600E-5;6,799998
1,000000;-8,251000E-6;6,999998
1,000000;-9,626000E-6;7,199997
1,000000;-1,237600E-5;7,399997
1,000000;-1,100100E-5;7,599997
1,000000;-1,237600E-5;7,799997
1,000000;-1,100100E-5;7,999997
1,000000;-8,251000E-6;8,199997
1,000000;-1,100100E-5;8,399997
1,000000;-1,100100E-5;8,599997
1,000000;-9,626000E-6;8,799996
1,000000;-1,237600E-5;8,999996
1,000000;-8,251000E-6;9,199996
1,000000;-8,251000E-6;9,399996
1,000000;-1,100100E-5;9,599996
1,000000;-1,375100E-5;9,799995
1,000000;-8,251000E-6;9,999995
1,000000;-1,512600E-5;10,200000
1,000000;-1,512600E-5;10,399990
2,000000;-6,325400E-5;0,400000
2,000000;-7,838000E-5;0,600000
2,000000;-8,388000E-5;0,800000
2,000000;-8,250500E-5;1,000000
2,000000;-8,663000E-5;1,200000
2,000000;-8,663000E-5;1,400000
2,000000;-8,938000E-5;1,600000
2,000000;-8,800500E-5;1,800000
2,000000;-9,213100E-5;2,000000
2,000000;-9,213100E-5;2,200000
2,000000;-9,488100E-5;2,400000
2,000000;-9,625600E-5;2,600000
2,000000;-9,763100E-5;2,800000
2,000000;-9,900600E-5;3,000000
2,000000;-0,000100;3,200001
2,000000;-0,000103;3,400001
2,000000;-0,000105;3,600001
2,000000;-0,000105;3,800001
2,000000;-0,000107;4,000000
2,000000;-0,000103;4,200000
2,000000;-0,000103;4,400000
2,000000;-0,000102;4,600000
2,000000;-0,000105;4,800000
2,000000;-0,000109;5,000000
2,000000;-0,000110;5,199999
2,000000;-0,000105;5,399999
2,000000;-0,000113;5,599999
2,000000;-0,000113;5,799999
2,000000;-0,000116;5,999999
2,000000;-0,000111;6,199998
2,000000;-0,000111;6,399998
2,000000;-0,000111;6,599998
2,000000;-0,000116;6,799998
2,000000;-0,000121;6,999998
2,000000;-0,000120;7,199997
2,000000;-0,000121;7,399997
2,000000;-0,000116;7,599997
2,000000;-0,000117;7,799997
2,000000;-0,000121;7,999997
2,000000;-0,000122;8,199997
2,000000;-0,000121;8,399997
2,000000;-0,000127;8,599997
2,000000;-0,000125;8,799996
2,000000;-0,000125;8,999996
2,000000;-0,000125;9,199996
2,000000;-0,000122;9,399996
2,000000;-0,000122;9,599996
2,000000;-0,000128;9,799995
2,000000;-0,000128;9,999995
2,000000;-0,000132;10,200000
2,000000;-0,000129;10,399990
3,000000;-0,000257;0,400000
3,000000;-0,000458;0,600000
3,000000;-0,000616;0,800000
3,000000;-0,000723;1,000000
3,000000;-0,000792;1,200000
3,000000;-0,000836;1,400000
3,000000;-0,000862;1,600000
3,000000;-0,000879;1,800000
3,000000;-0,000892;2,000000
3,000000;-0,000908;2,200000
3,000000;-0,000919;2,400000
3,000000;-0,000927;2,600000
3,000000;-0,000938;2,800000
3,000000;-0,000950;3,000000
3,000000;-0,000961;3,200001
3,000000;-0,000969;3,400001
3,000000;-0,000978;3,600001
3,000000;-0,000990;3,800001
3,000000;-0,001001;4,000000
3,000000;-0,001004;4,200000
3,000000;-0,001011;4,400000
3,000000;-0,001023;4,600000
3,000000;-0,001031;4,800000
3,000000;-0,001035;5,000000
3,000000;-0,001046;5,199999
3,000000;-0,001055;5,399999
3,000000;-0,001062;5,599999
3,000000;-0,001070;5,799999
3,000000;-0,001077;5,999999
3,000000;-0,001084;6,199998
3,000000;-0,001092;6,399998
3,000000;-0,001093;6,599998
3,000000;-0,001097;6,799998
3,000000;-0,001108;6,999998
3,000000;-0,001114;7,199997
3,000000;-0,001126;7,399997
3,000000;-0,001130;7,599997
3,000000;-0,001136;7,799997
3,000000;-0,001147;7,999997
3,000000;-0,001144;8,199997
3,000000;-0,001151;8,399997
3,000000;-0,001158;8,599997
3,000000;-0,001162;8,799996
3,000000;-0,001172;8,999996
3,000000;-0,001176;9,199996
3,000000;-0,001185;9,399996
3,000000;-0,001191;9,599996
3,000000;-0,001200;9,799995
3,000000;-0,001205;9,999995
3,000000;-0,001205;10,200000
3,000000;-0,001213;10,399990
4,000000;-0,000422;0,400000
4,000000;-0,000789;0,600000
4,000000;-0,001117;0,800000
4,000000;-0,001398;1,000000
4,000000;-0,001643;1,200000
4,000000;-0,001854;1,400000
4,000000;-0,002017;1,600000
4,000000;-0,002148;1,800000
4,000000;-0,002246;2,000000
4,000000;-0,002316;2,200000
4,000000;-0,002369;2,400000
4,000000;-0,002409;2,600000
4,000000;-0,002442;2,800000
4,000000;-0,002478;3,000000
4,000000;-0,002505;3,200001
4,000000;-0,002534;3,400001
4,000000;-0,002559;3,600001
4,000000;-0,002580;3,800001
4,000000;-0,002603;4,000000
4,000000;-0,002624;4,200000
4,000000;-0,002646;4,400000
4,000000;-0,002659;4,600000
4,000000;-0,002680;4,800000
4,000000;-0,002699;5,000000
4,000000;-0,002721;5,199999
4,000000;-0,002739;5,399999
4,000000;-0,002757;5,599999
4,000000;-0,002776;5,799999
4,000000;-0,002790;5,999999
4,000000;-0,002805;6,199998
4,000000;-0,002822;6,399998
4,000000;-0,002837;6,599998
4,000000;-0,002853;6,799998
4,000000;-0,002867;6,999998
4,000000;-0,002885;7,199997
4,000000;-0,002900;7,399997
4,000000;-0,002921;7,599997
4,000000;-0,002932;7,799997
4,000000;-0,002941;7,999997
4,000000;-0,002961;8,199997
4,000000;-0,002978;8,399997
