#Dane zbierane przy płytce z inwerterem
#Zasialnie 5V
#V,V,A
Uwe;Uwy;I
0	4,747	
0,5	4,746	5E-6
1	4,742	5E-6
1,5	4,642	3,8E-6
2	4,526	2,73E-5
2,1	4,488	3,93E-5
2,2	4,437	5,65E-5
2,3	4,346	8,77E-5
2,4	3,505	1,111E-4
2,5	0,177	9,27E-5
2,6	0,066	6,05E-5
2,7	0,029	36,6E-5
2,8	0,012	2,00E-5
2,9	0,004	9,6E-6
3	0,001	4,1E-6
3,5	0,001	0
4	0,000	0
4,5	0,000	0
5	0,000	0

#Zasialnie 10V
#V,V,A
Uwe;Uwy;I
0	9,712	1E-6
1	9,911	9E-7
2	9,540	3,4E-5
3	9,256	5,61E-4
4	8,538	2,189E-3
4,2	8,254	2,633E-3
4,4	7,839	3,112E-3
4,6	6,985	3,603E-3
4,8	3,895	3,923E-3
5	0,975	3,661E-3
5,2	0,679	3,200E-3
5,4	0,513	2,851E-3
5,6	0,397	2,466E-3
5,8	0,309	2,101E-3
6	0,240	1,757E-3
7	0,046	4,51E-4
8	0,000	4e-6
9	0,000	1e-6
10	0,000	0
