U;I
0,040350;-1,098300E-5
0,110362;-1,235600E-5
0,230286;-1,098300E-5
0,310354;-1,372800E-5
0,440181;-1,235600E-5
0,570210;-9,610000E-6
0,600222;-1,372800E-5
0,790333;-9,610000E-6
0,849841;-9,610000E-6
0,929870;-1,235600E-5
1,039799;-1,098300E-5
1,189876;-1,235600E-5
1,209769;-9,610000E-6
1,389837;-1,235600E-5
1,419783;-9,610000E-6
1,559886;-1,098300E-5
1,689756;-1,235600E-5
1,729788;-1,235600E-5
1,869700;-1,235600E-5
1,949521;-8,237000E-6
2,089262;-8,237000E-6
2,179148;-6,864000E-6
2,199021;-8,237000E-6
2,378390;-2,746000E-6
2,447628;2,746000E-6
2,527074;8,237000E-6
2,685337;2,196500E-5
2,744559;2,745700E-5
2,832950;3,844000E-5
2,901443;5,216800E-5
3,018151;7,550600E-5
3,085813;9,884500E-5
3,181547;0,000130
3,295079;0,000187
3,369638;0,000229
3,506719;0,000328
3,604577;0,000424
3,691230;0,000533
3,733633;0,000596
3,864580;0,000828
3,888244;0,000883
3,979695;0,001105
4,093856;0,001472
4,140644;0,001661
4,210123;0,001988
4,263205;0,002286
4,296707;0,002500
4,368452;0,003035
4,397078;0,003285
4,459425;0,003922
4,487261;0,004256
4,524668;0,004757
4,577821;0,005616
4,595805;0,005958
4,626708;0,006599
4,652316;0,007190
4,673464;0,007746
4,691048;0,008252
4,721111;0,009212
4,741016;0,009934
4,752712;0,010405
4,766783;0,011005
4,785854;0,011903
4,791361;0,012178
4,804485;0,012877
4,824866;0,014077
4,836963;0,014866
4,839070;0,015008
4,850255;0,015804
4,862761;0,016756
4,870741;0,017417
4,880753;0,018297
4,888795;0,019045
4,892599;0,019411
4,904829;0,020682
4,911060;0,021366
4,918199;0,022189
4,920645;0,022490
4,930909;0,023778
4,932632;0,024011
4,938926;0,024873
4,944214;0,025638
4,951357;0,026710
4,955269;0,027321
4,960034;0,028095
4,962337;0,028477
4,967328;0,029333
4,972924;0,030337
4,977919;0,031261
4,982698;0,032186
4,983492;0,032341
4,990345;0,033740
4,992196;0,034132
4,994731;0,034672
4,997928;0,035378
5,002382;0,036383
5,007372;0,037554
5,009947;0,038177
5,012483;0,038799
5,015753;0,039627
