U;I
0,050436;-1,372800E-5
0,050454;-9,610000E-6
0,100452;-1,235600E-5
0,150403;-9,610000E-6
0,200378;-1,372800E-5
0,250299;-1,098300E-5
0,300295;-1,235600E-5
0,350188;-1,510100E-5
0,400213;-1,098300E-5
0,450132;-1,510100E-5
0,500142;-9,610000E-6
0,550112;-1,372800E-5
0,600090;-1,235600E-5
0,650016;-1,098300E-5
0,700420;-1,235600E-5
0,750472;-9,610000E-6
0,800484;-1,235600E-5
0,850397;-1,235600E-5
0,900414;-1,372800E-5
0,950388;-1,098300E-5
1,000275;-1,372800E-5
1,050298;-1,098300E-5
1,100267;-1,510100E-5
1,150297;-1,098300E-5
1,200208;-1,235600E-5
1,250239;-1,372800E-5
1,300191;-1,372800E-5
1,350222;-9,610000E-6
1,400086;-1,510100E-5
1,450121;-1,098300E-5
1,500171;-1,098300E-5
1,550203;-1,098300E-5
1,600109;-1,098300E-5
1,650126;-1,372800E-5
1,700081;-9,610000E-6
1,750103;-1,098300E-5
1,799965;-1,235600E-5
1,849991;-1,098300E-5
1,899854;-1,372800E-5
1,949874;-1,098300E-5
1,999787;-1,235600E-5
2,050187;-9,610000E-6
2,100148;-1,098300E-5
2,150120;-9,610000E-6
2,200003;-1,372800E-5
2,249978;-1,235600E-5
2,299944;-8,237000E-6
2,349860;-1,235600E-5
2,399589;-5,491000E-6
2,449357;-6,864000E-6
2,498918;-4,119000E-6
2,548322;2,746000E-6
2,597219;6,864000E-6
2,645371;2,745700E-5
2,691657;5,491400E-5
2,734635;0,000110
2,772907;0,000206
2,806580;0,000335
2,836085;0,000501
2,862089;0,000692
2,885107;0,000910
2,905726;0,001145
2,924329;0,001402
2,941235;0,001663
2,956700;0,001944
2,970800;0,002221
2,984225;0,002519
2,996748;0,002825
3,008590;0,003131
3,019722;0,003447
3,030244;0,003760
3,040381;0,004086
3,050021;0,004408
3,059301;0,004735
3,068213;0,005069
3,076826;0,005397
3,085121;0,005737
3,093208;0,006068
3,101021;0,006413
3,108646;0,006756
3,116047;0,007098
3,123268;0,007442
3,129682;0,007755
3,136664;0,008101
3,143479;0,008455
3,150136;0,008808
3,156633;0,009155
3,162981;0,009510
3,169231;0,009860
3,175361;0,010215
3,181393;0,010567
3,187317;0,010924
3,193144;0,011278
3,198888;0,011631
3,204584;0,011996
3,210158;0,012349
3,215670;0,012677
3,221089;0,013069
3,226439;0,013428
3,231702;0,013786
