U;I
0,300313;-9,610000E-6
0,050477;-1,235600E-5
0,050494;-9,610000E-6
0,050490;-1,098300E-5
0,100489;-1,235600E-5
0,150436;-1,235600E-5
0,200468;-1,098300E-5
0,250311;-1,098300E-5
0,300322;-1,372800E-5
0,350187;-1,098300E-5
0,400203;-1,510100E-5
0,450118;-1,098300E-5
0,500541;-1,372800E-5
0,550491;-9,610000E-6
0,600464;-1,098300E-5
0,650379;-1,098300E-5
0,700389;-1,372800E-5
0,750434;-1,235600E-5
0,800440;-9,610000E-6
0,850358;-1,372800E-5
0,900376;-9,610000E-6
0,950345;-1,372800E-5
1,000220;-1,098300E-5
1,050239;-1,372800E-5
1,100210;-1,098300E-5
1,150236;-1,235600E-5
1,200129;-9,610000E-6
1,250146;-9,610000E-6
1,300081;-1,098300E-5
1,350074;-9,610000E-6
1,399815;-1,235600E-5
1,449694;-6,864000E-6
1,498573;-8,237000E-6
1,545968;2,746000E-6
1,589805;1,510100E-5
1,627475;4,393100E-5
1,657014;9,472600E-5
1,679665;0,000161
1,697255;0,000242
1,710713;0,000324
1,722242;0,000412
1,731709;0,000498
1,739138;0,000585
1,746962;0,000675
1,753501;0,000769
1,757141;0,000847
1,754133;0,000848
1,755065;0,000667
1,775020;0,001164
1,781685;0,001296
1,790389;0,001564
1,832366;0,003130
1,836096;0,003328
1,838896;0,003498
1,832910;0,003053
1,876305;0,006002
1,880012;0,006366
1,883741;0,006724
1,887368;0,007087
1,890898;0,007445
1,894314;0,007807
1,897623;0,008173
1,900812;0,008535
1,903909;0,008903
1,906914;0,009268
1,909826;0,009632
1,912628;0,009997
1,915365;0,010368
1,918026;0,010737
1,920599;0,011106
1,923120;0,011473
1,925549;0,011849
1,927902;0,012218
1,930211;0,012585
1,932443;0,012958
1,934629;0,013329
1,936748;0,013702
1,938824;0,014070
1,940833;0,014444
1,942808;0,014821
1,944724;0,015189
1,946588;0,015568
1,948398;0,015939
1,950170;0,016311
1,951895;0,016684
1,953579;0,017059
1,955212;0,017428
1,956817;0,017806
1,958398;0,018178
1,959951;0,018558
1,961459;0,018930
1,962950;0,019309
1,964384;0,019688
1,965807;0,020052
1,967268;0,020437
1,968635;0,020819
1,969979;0,021194
1,971304;0,021571
1,972587;0,021946
1,973825;0,022329
1,975025;0,022707
1,976191;0,023086
