Ut;Ud;I
0.05;0,040331;-6,864000E-6
0.14;0,130304;-2,746000E-6
0.28;0,270154;-5,491000E-6
0.37;0,358819;4,119000E-6
0.44;0,423499;4,804900E-5
0.54;0,496971;0,000262
0.61;0,532566;0,000535
0.74;0,575763;0,001234
0.9;0,608555;0,002256
0.94;0,614860;0,002527
1.01;0,624720;0,003008
1.13;0,638987;0,003856
1.24;0,650039;0,004658
1.38;0,662097;0,005685
1.44;0,666743;0,006131
1.6;0,678002;0,007325
1.68;0,683115;0,007925
1.77;0,688542;0,008609
1.85;0,693108;0,009212
1.94;0,697965;0,009891
2.1;0,706089;0,011116
2.15;0,708504;0,011499
2.21;0,711335;0,011955
2.36;0,717890;0,013069
2.45;0,721761;0,013763
2.57;0,726766;0,014692
2.66;0,730378;0,015385
2.77;0,734651;0,016234
2.9;0,739578;0,017244
2.92;0,740317;0,017399
3.09;0,746441;0,018716
3.17;0,749245;0,019338
3.26;0,752319;0,020030
3.31;0,754015;0,020417
3.42;0,757669;0,021275
3.56;0,762243;0,022368
3.68;0,766082;0,023301
3.73;0,767661;0,023695
3.89;0,772801;0,024997
3.98;0,775531;0,025701
4.08;0,778442;0,026462
4.14;0,780262;0,026947
4.25;0,783501;0,027807
4.31;0,785238;0,028278
4.43;0,788715;0,029235
4.51;0,790942;0,029859
4.63;0,794310;0,030800
4.73;0,797074;0,031588
4.82;0,799525;0,032292
4.93;0,802507;0,033155
5.01;0,804655;0,033787
5.17;0,808921;0,035040
5.26;0,811267;0,035747
5.36;0,813887;0,036537
5.49;0,817248;0,037561
5.55;0,818792;0,038032
5.66;0,821603;0,038898
5.73;0,823389;0,039449
5.87;0,826555;0,040433
5.96;0,828875;0,041167
6.02;0,830360;0,041648
6.11;0,832588;0,042355
6.22;0,835242;0,043225
6.31;0,837422;0,043939
6.41;0,839844;0,044731
6.55;0,843178;0,045832
6.65;0,845619;0,046653
6.8;0,849092;0,047838
6.9;0,851410;0,048633
6.95;0,852571;0,049031
7.05;0,854916;0,049819
7.18;0,857887;0,050846
7.26;0,859694;0,051477
7.31;0,860822;0,051874
7.49;0,864827;0,053303
7.56;0,866459;0,053854
7.65;0,868560;0,054570
7.72;0,870123;0,055122
7.86;0,873417;0,056282
7.96;0,875630;0,057080
8.04;0,877416;0,057711
8.11;0,878952;0,058270
8.23;0,881681;0,059222
8.35;0,884335;0,060177
8.48;0,887158;0,061212
8.57;0,889141;0,061923
8.69;0,891768;0,062877
8.74;0,892862;0,063274
8.84;0,895084;0,064069
8.99;0,898270;0,065266
9.07;0,899975;0,065902
9.16;0,901865;0,066614
9.3;0,904875;0,067724
9.31;0,905127;0,067807
9.45;0,908045;0,068921
9.59;0,910950;0,070040
9.61;0,911409;0,070193
9.79;0,915202;0,071627
9.9;0,917532;0,072507
9.91;0,917767;0,072588
